Gene_acc,Gene_id,log2fc,log10intensity,logFDR,Desc,desc2,ids2
1409,Tb927.11.3320,0.14365265091325302,5.97536134574599,-0.6074453049185797,"ras-like small GTPase, putative","Tb927.11.3320.1:mRNA-p1 | transcript=Tb927.11.3320.1:mRNA | gene=Tb927.11.3320 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=ras-like small GTPase, putative | transcript_product=ras-like small GTPase, putative | location=Tb927_11_v5.1:972343-",Tb927.11.3320.1:mRNA-p1;Tb927.11.3320.2:mRNA-p1
1410,Tb927.4.1460,0.14341269877507293,4.978332669191424,-0.4397173641786768,"Zn-finger in ubiquitin-hydrolases and other protein, putative","Tb927.4.1460:mRNA-p1 | transcript=Tb927.4.1460:mRNA | gene=Tb927.4.1460 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Zn-finger in ubiquitin-hydrolases and other protein, putative | transcript_product=Zn-finger in ubiquitin-hydrolases and oth",Tb927.4.1460:mRNA-p1
1411,Tb927.11.1820,0.14322090333329926,6.258353677410503,-0.7276287162359447,"translation initiation factor eIF2B delta subunit, putative","Tb927.11.1820:mRNA-p1 | transcript=Tb927.11.1820:mRNA | gene=Tb927.11.1820 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=translation initiation factor eIF2B delta subunit, putative | transcript_product=translation initiation factor eIF2B delt",Tb927.11.1820:mRNA-p1;Tb11.1400.1-p1
1412,Tb927.8.1290,0.1430967961347908,6.1131151587580375,-0.1364381190629115,SUMO-interacting motif-containing protein,Tb927.8.1290:mRNA-p1 | transcript=Tb927.8.1290:mRNA | gene=Tb927.8.1290 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=SUMO-interacting motif-containing protein | transcript_product=SUMO-interacting motif-containing protein | location=Tb927_08,Tb927.8.1290:mRNA-p1
1413,Tb927.2.1180,0.14304726102275822,6.003153364766558,-0.6576188233875822,"retrotransposon hot spot protein 3 (RHS3), putative","Tb927.2.1180:mRNA-p1 | transcript=Tb927.2.1180:mRNA | gene=Tb927.2.1180 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=retrotransposon hot spot protein 3 (RHS3), putative | transcript_product=retrotransposon hot spot protein 3 (RHS3), putative",Tb927.2.1180:mRNA-p1
1414,Tb927.7.6890,0.14286945309548238,6.6803367672052465,-0.6464925502503237,"methyltransferase domain containing protein, putative","Tb927.7.6890:mRNA-p1 | transcript=Tb927.7.6890:mRNA | gene=Tb927.7.6890 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=methyltransferase domain containing protein, putative | transcript_product=methyltransferase domain containing protein, puta",Tb927.7.6890:mRNA-p1
1415,Tb927.9.4420,0.14282526542562493,6.134930501975264,-0.41869071413634656,Beat-regulation protein,Tb927.9.4420:mRNA-p1 | transcript=Tb927.9.4420:mRNA | gene=Tb927.9.4420 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Beat-regulation protein | transcript_product=Beat-regulation protein | location=Tb927_09_v5.1:826128-827375(+) | protein_len,Tb927.9.4420:mRNA-p1
1416,Tb927.8.4770,0.14281741514352375,6.349379034125061,-0.15936570777006515,small GTP-binding protein Rab18,Tb927.8.4770:mRNA-p1 | transcript=Tb927.8.4770:mRNA | gene=Tb927.8.4770 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=small GTP-binding protein Rab18 | transcript_product=small GTP-binding protein Rab18 | location=Tb927_08_v5.1:1403585-140423,Tb927.8.4770:mRNA-p1
1417,Tb927.10.12100,0.14271213089708124,5.8677668607464675,-0.06812551117311075,RNA-binding protein 7B,Tb927.10.12100:mRNA-p1 | transcript=Tb927.10.12100:mRNA | gene=Tb927.10.12100 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=RNA-binding protein 7B | transcript_product=RNA-binding protein 7B | location=Tb927_10_v5.1:2946037-2946387(+) | prote,Tb927.10.12100:mRNA-p1
1418,Tb927.10.15710,0.14260093759870168,6.446016756750085,-0.4067338930713788,mitochondrial carrier protein,Tb927.10.15710:mRNA-p1 | transcript=Tb927.10.15710:mRNA | gene=Tb927.10.15710 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=mitochondrial carrier protein | transcript_product=mitochondrial carrier protein | location=Tb927_10_v5.1:3866694-3867,Tb927.10.15710:mRNA-p1
1419,Tb927.5.3920,0.14258724843381176,6.2482779851515895,-0.35417383019355997,Peroxisome biogenesis factor 6,Tb927.5.3920:mRNA-p1 | transcript=Tb927.5.3920:mRNA | gene=Tb927.5.3920 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Peroxisome biogenesis factor 6 | transcript_product=Peroxisome biogenesis factor 6 | location=Tb927_05_v5.1:1273846-1276794(,Tb927.5.3920:mRNA-p1
1420,Tb927.9.2520,0.14246726731491327,6.829596988304165,-0.3817826085942108,microtubule-associated protein,Tb927.9.2520:mRNA-p1 | transcript=Tb927.9.2520:mRNA | gene=Tb927.9.2520 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=microtubule-associated protein | transcript_product=microtubule-associated protein | location=Tb927_09_v5.1:534345-558989(-),Tb927.9.2520:mRNA-p1
1421,Tb927.2.100,0.14244201120192101,7.317338218279006,-0.3687335932134118,"retrotransposon hot spot protein 1 (RHS1), putative","Tb927.2.100:mRNA-p1 | transcript=Tb927.2.100:mRNA | gene=Tb927.2.100 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=retrotransposon hot spot protein 1 (RHS1), putative | transcript_product=retrotransposon hot spot protein 1 (RHS1), putative | ",Tb927.2.100:mRNA-p1
1422,Tb927.3.5550,0.14228346264123823,6.433758220592976,-0.7191571380342133,intraflagellar transport protein 27,Tb927.3.5550:mRNA-p1 | transcript=Tb927.3.5550:mRNA | gene=Tb927.3.5550 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=intraflagellar transport protein 27 | transcript_product=intraflagellar transport protein 27 | location=Tb927_03_v5.1:155831,Tb927.3.5550:mRNA-p1
1423,Tb927.11.15050,0.14225461391606692,4.839401210417644,-0.2008811567307698,"Cation efflux family, putative","Tb927.11.15050:mRNA-p1 | transcript=Tb927.11.15050:mRNA | gene=Tb927.11.15050 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Cation efflux family, putative | transcript_product=Cation efflux family, putative | location=Tb927_11_v5.1:4002907-40",Tb927.11.15050:mRNA-p1
1424,Tb927.7.6650,0.1421154833142241,5.221645665225228,-0.3738023353957255,"Colon cancer-associated protein Mic1-like, putative","Tb927.7.6650:mRNA-p1 | transcript=Tb927.7.6650:mRNA | gene=Tb927.7.6650 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Colon cancer-associated protein Mic1-like, putative | transcript_product=Colon cancer-associated protein Mic1-like, putative",Tb927.7.6650:mRNA-p1
1425,Tb927.8.3990,0.14174709070897504,5.241333965140864,-0.47902152979633345,"hypothetical protein, conserved","Tb927.8.3990:mRNA-p1 | transcript=Tb927.8.3990:mRNA | gene=Tb927.8.3990 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_08_v5.1:1190781-119165",Tb927.8.3990:mRNA-p1
1426,Tb927.7.4020,0.14134577000594664,6.303205747296558,-0.7882329414907712,"protein phosphatase 2C, putative","Tb927.7.4020:mRNA-p1 | transcript=Tb927.7.4020:mRNA | gene=Tb927.7.4020 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=protein phosphatase 2C, putative | transcript_product=protein phosphatase 2C, putative | location=Tb927_07_v5.1:1062389-1064",Tb927.7.4020:mRNA-p1
1427,Tb927.4.640,0.14109069147115946,5.871757575578472,-0.7751566443246757,"GRIP domain containing protein, putative","Tb927.4.640:mRNA-p1 | transcript=Tb927.4.640:mRNA | gene=Tb927.4.640 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=GRIP domain containing protein, putative | transcript_product=GRIP domain containing protein, putative | location=Tb927_04_v5.1",Tb927.4.640:mRNA-p1
1428,Tb927.11.3290,0.14087423399705146,6.387218673383882,-0.6269762466753703,Tripartite attachment complex protein 166,Tb927.11.3290:mRNA-p1 | transcript=Tb927.11.3290:mRNA | gene=Tb927.11.3290 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Tripartite attachment complex protein 166 | transcript_product=Tripartite attachment complex protein 166 | location=Tb927,Tb927.11.3290:mRNA-p1
1429,Tb927.10.15160,0.14084290099024574,5.349188432098982,-0.80744406613662,"hypothetical protein, conserved","Tb927.10.15160:mRNA-p1 | transcript=Tb927.10.15160:mRNA | gene=Tb927.10.15160 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_10_v5.1:3696267-",Tb927.10.15160:mRNA-p1
1430,Tb927.8.7760,0.14084184946870984,5.593372252436218,-0.14266244256269842,"hypothetical protein, conserved","Tb927.8.7760:mRNA-p1 | transcript=Tb927.8.7760:mRNA | gene=Tb927.8.7760 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_08_v5.1:2252048-225474",Tb927.8.7760:mRNA-p1
1431,Tb927.9.1880,0.140812158843373,6.267187630621778,-0.5913800577088495,"WD domain, G-beta repeat, putative","Tb927.9.1880:mRNA-p1 | transcript=Tb927.9.1880:mRNA | gene=Tb927.9.1880 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=WD domain, G-beta repeat, putative | transcript_product=WD domain, G-beta repeat, putative | location=Tb927_09_v5.1:428422-4",Tb927.9.1880:mRNA-p1
1432,Tb927.10.14310,0.1405862567304548,5.262084602473288,-0.30747616341005163,"hypothetical protein, conserved","Tb927.10.14310:mRNA-p1 | transcript=Tb927.10.14310:mRNA | gene=Tb927.10.14310 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_10_v5.1:3477309-",Tb927.10.14310:mRNA-p1
1433,Tb927.9.2600,0.14055313665593258,5.6697485222841255,-0.44223563665278776,"hypothetical protein, conserved","Tb927.9.2600:mRNA-p1 | transcript=Tb927.9.2600:mRNA | gene=Tb927.9.2600 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_09_v5.1:576424-577113(",Tb927.9.2600:mRNA-p1
1434,Tb927.8.2120,0.14054428361247692,6.127399229941169,-0.8150913053888006,"hypothetical protein, conserved","Tb927.8.2120:mRNA-p1 | transcript=Tb927.8.2120:mRNA | gene=Tb927.8.2120 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_08_v5.1:661502-662602(",Tb927.8.2120:mRNA-p1
1435,Tb927.6.1280,0.14049855671371408,6.338899562210665,-0.4101431652085607,"translation initiation factor EIF-2b alpha subunit, putative","Tb927.6.1280:mRNA-p1 | transcript=Tb927.6.1280:mRNA | gene=Tb927.6.1280 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=translation initiation factor EIF-2b alpha subunit, putative | transcript_product=translation initiation factor EIF-2b alpha",Tb927.6.1280:mRNA-p1
1436,Tb927.5.3670,0.1401566512833036,4.684358702931818,-0.18811098932729048,"DNA repair protein, putative","Tb927.5.3670:mRNA-p1 | transcript=Tb927.5.3670:mRNA | gene=Tb927.5.3670 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=DNA repair protein, putative | transcript_product=DNA repair protein, putative | location=Tb927_05_v5.1:1207847-1211575(+) |",Tb927.5.3670:mRNA-p1
1437,Tb927.10.13020,0.14006519730675726,5.822010493752358,-0.8267464373153635,"Vacuolar protein sorting-associated protein 16 homolog, putative","Tb927.10.13020:mRNA-p1 | transcript=Tb927.10.13020:mRNA | gene=Tb927.10.13020 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Vacuolar protein sorting-associated protein 16 homolog, putative | transcript_product=Vacuolar protein sorting-associa",Tb927.10.13020:mRNA-p1
1438,Tb927.3.1120,0.13985283657914327,7.787194504860998,-0.20788314332162044,"GTP-binding nuclear protein rtb2, putative","Tb927.3.1120:mRNA-p1 | transcript=Tb927.3.1120:mRNA | gene=Tb927.3.1120 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=GTP-binding nuclear protein rtb2, putative | transcript_product=GTP-binding nuclear protein rtb2, putative | location=Tb927_",Tb927.3.1120:mRNA-p1
1439,Tb927.7.3040,0.13984206304967334,6.568540617335376,-0.858856835139063,F-box and WD40 domain containing protein,Tb927.7.3040:mRNA-p1 | transcript=Tb927.7.3040:mRNA | gene=Tb927.7.3040 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=F-box and WD40 domain containing protein | transcript_product=F-box and WD40 domain containing protein | location=Tb927_07_v,Tb927.7.3040:mRNA-p1
1440,Tb927.11.12110,0.13965213005731447,5.500073845505694,-0.6150575386653118,"RNA helicase, putative","Tb927.11.12110:mRNA-p1 | transcript=Tb927.11.12110:mRNA | gene=Tb927.11.12110 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Tb927_11_v5.1:3234510-3238409(+) | prote",Tb927.11.12110:mRNA-p1
1441,Tb927.11.8190,0.13960652283511207,5.714878605932089,-0.6736468938531464,DNA repair protein RAD51,Tb927.11.8190:mRNA-p1 | transcript=Tb927.11.8190:mRNA | gene=Tb927.11.8190 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=DNA repair protein RAD51 | transcript_product=DNA repair protein RAD51 | location=Tb927_11_v5.1:2303695-2304816(+) | prot,Tb927.11.8190:mRNA-p1
1442,Tb927.11.15740,0.13955402974837058,5.739896159264764,-0.6762431109991955,"hypothetical protein, conserved","Tb927.11.15740:mRNA-p1 | transcript=Tb927.11.15740:mRNA | gene=Tb927.11.15740 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_11_v5.1:4167103-",Tb927.11.15740:mRNA-p1
1443,Tb927.5.500,0.13936893637575842,6.428717657288768,-0.7854474771781417,"hypothetical protein, conserved","Tb927.5.500:mRNA-p1 | transcript=Tb927.5.500:mRNA | gene=Tb927.5.500 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_05_v5.1:212919-217130(-) ",Tb927.5.500:mRNA-p1;Tb11.v5.0218.1-p1
1444,Tb927.7.2240,0.1393606765038392,7.183498175034,-0.8037347801583784,"hypothetical protein, conserved","Tb927.7.2240:mRNA-p1 | transcript=Tb927.7.2240:mRNA | gene=Tb927.7.2240 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_07_v5.1:578992-580626(",Tb927.7.2240:mRNA-p1
1445,Tb927.7.3630,0.1391501622935324,6.911864394828603,-0.7256361141404547,"TPR-repeat-containing chaperone protein DNAJ, putative","Tb927.7.3630:mRNA-p1 | transcript=Tb927.7.3630:mRNA | gene=Tb927.7.3630 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=TPR-repeat-containing chaperone protein DNAJ, putative | transcript_product=TPR-repeat-containing chaperone protein DNAJ, pu",Tb927.7.3630:mRNA-p1
1446,Tb927.7.2560,0.13912652285191968,4.869452015565569,-0.635229837042736,"hypothetical protein, conserved","Tb927.7.2560:mRNA-p1 | transcript=Tb927.7.2560:mRNA | gene=Tb927.7.2560 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_07_v5.1:655397-659014(",Tb927.7.2560:mRNA-p1
1447,Tb927.7.3270,0.13893356476810886,5.750165422860924,-0.15348540293014884,"hypothetical protein, conserved","Tb927.7.3270:mRNA-p1 | transcript=Tb927.7.3270:mRNA | gene=Tb927.7.3270 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_07_v5.1:841229-843652(",Tb927.7.3270:mRNA-p1
1448,Tb927.10.3090,0.13882589970705927,5.62319415636262,-0.635229837042736,"hypothetical protein, conserved","Tb927.10.3090:mRNA-p1 | transcript=Tb927.10.3090:mRNA | gene=Tb927.10.3090 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_10_v5.1:807422-8099",Tb927.10.3090:mRNA-p1
1449,Tb927.11.2430,0.1387610253161252,7.616645357881237,-0.8826723259274921,"Cytoplasmic dynein 2 heavy chain (DYNC2H2), putative","Tb927.11.2430:mRNA-p1 | transcript=Tb927.11.2430:mRNA | gene=Tb927.11.2430 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Cytoplasmic dynein 2 heavy chain (DYNC2H2), putative | transcript_product=Cytoplasmic dynein 2 heavy chain (DYNC2H2), put",Tb927.11.2430:mRNA-p1
1450,Tb927.11.1080,0.13863454631376984,4.993902745711447,-0.23421079217397983,Nucleolar protein 60,Tb927.11.1080:mRNA-p1 | transcript=Tb927.11.1080:mRNA | gene=Tb927.11.1080 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Nucleolar protein 60 | transcript_product=Nucleolar protein 60 | location=Tb927_11_v5.1:277174-278811(+) | protein_length,Tb927.11.1080:mRNA-p1
1451,Tb927.11.8090,0.13862436804079817,6.3288352376467305,-0.5460006379705244,"protein phosphatase 1, putative","Tb927.11.8090:mRNA-p1 | transcript=Tb927.11.8090:mRNA | gene=Tb927.11.8090 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=protein phosphatase 1, putative | transcript_product=protein phosphatase 1, putative | location=Tb927_11_v5.1:2267955-226",Tb927.11.8090:mRNA-p1
1452,Tb927.10.15210,0.13857817518515736,5.728246056804453,-0.4578299681463756,nuclear cap binding complex subunit CBP30,Tb927.10.15210:mRNA-p1 | transcript=Tb927.10.15210:mRNA | gene=Tb927.10.15210 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=nuclear cap binding complex subunit CBP30 | transcript_product=nuclear cap binding complex subunit CBP30 | location=Tb,Tb927.10.15210:mRNA-p1
1453,Tb927.11.4720,0.1385322456286496,5.283712071459423,-0.3379305936937201,"hypothetical protein, conserved","Tb927.11.4720:mRNA-p1 | transcript=Tb927.11.4720:mRNA | gene=Tb927.11.4720 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_11_v5.1:1359753-136",Tb927.11.4720:mRNA-p1
1454,Tb927.7.2810,0.1385216804034137,5.7490531802511216,-0.6762431109991955,"hypothetical protein, conserved","Tb927.7.2810:mRNA-p1 | transcript=Tb927.7.2810:mRNA | gene=Tb927.7.2810 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_07_v5.1:727684-728724(",Tb927.7.2810:mRNA-p1
1455,Tb927.6.4230,0.13844523704071623,5.555058485297523,-0.5038413233170945,"hypothetical protein, conserved","Tb927.6.4230:mRNA-p1 | transcript=Tb927.6.4230:mRNA | gene=Tb927.6.4230 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_06_v5.1:1211434-121293",Tb927.6.4230:mRNA-p1
1456,Tb927.11.4730,0.1380120848580702,5.041975624692659,-0.07567357040220332,"hypothetical protein, conserved","Tb927.11.4730:mRNA-p1 | transcript=Tb927.11.4730:mRNA | gene=Tb927.11.4730 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_11_v5.1:1360604-136",Tb927.11.4730:mRNA-p1
1457,Tb927.6.3100,0.1380112182071624,6.4501956593318805,-0.5670914998712969,"Intraflagellar transport complex B protein 46 C terminal, putative","Tb927.6.3100:mRNA-p1 | transcript=Tb927.6.3100:mRNA | gene=Tb927.6.3100 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Intraflagellar transport complex B protein 46 C terminal, putative | transcript_product=Intraflagellar transport complex B p",Tb927.6.3100:mRNA-p1
1458,Tb927.7.7130,0.13784463264044272,5.09006606436232,-0.5414334919516648,"S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase, putative","Tb927.7.7130:mRNA-p1 | transcript=Tb927.7.7130:mRNA | gene=Tb927.7.7130 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase, putative | transcript_product=S-adenosyl-L-methionine-dep",Tb927.7.7130:mRNA-p1
1459,Tb927.4.1710,0.13768578846232546,5.978431493139559,-0.5419272458160436,"rhodanese-like domain containing protein, putative","Tb927.4.1710:mRNA-p1 | transcript=Tb927.4.1710:mRNA | gene=Tb927.4.1710 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=rhodanese-like domain containing protein, putative | transcript_product=rhodanese-like domain containing protein, putative |",Tb927.4.1710:mRNA-p1
1460,Tb927.11.2040,0.1374607420748021,5.916358902375165,-0.6317693156231701,"STE/STE11 serine/threonine-protein kinase, putative","Tb927.11.2040:mRNA-p1 | transcript=Tb927.11.2040:mRNA | gene=Tb927.11.2040 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=STE/STE11 serine/threonine-protein kinase, putative | transcript_product=STE/STE11 serine/threonine-protein kinase, putat",Tb927.11.2040:mRNA-p1
1461,Tb927.2.4160,0.1374528954221854,6.1583784820948475,-0.47412972237537326,"hypothetical protein, conserved","Tb927.2.4160:mRNA-p1 | transcript=Tb927.2.4160:mRNA | gene=Tb927.2.4160 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_02_v5.1:730705-733212(",Tb927.2.4160:mRNA-p1
1462,Tb927.4.4660,0.13723176612993943,5.568689079874625,-0.6788075945767458,"Protein of unknown function DUF84, putative","Tb927.4.4660:mRNA-p1 | transcript=Tb927.4.4660:mRNA | gene=Tb927.4.4660 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Protein of unknown function DUF84, putative | transcript_product=Protein of unknown function DUF84, putative | location=Tb92",Tb927.4.4660:mRNA-p1
1463,Tb927.11.2470,0.1370640789795791,6.726184881504048,-0.3051823590612352,"metallo-peptidase, Clan MF, Family M17","Tb927.11.2470:mRNA-p1 | transcript=Tb927.11.2470:mRNA | gene=Tb927.11.2470 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=metallo-peptidase, Clan MF, Family M17 | transcript_product=metallo-peptidase, Clan MF, Family M17 | location=Tb927_11_v5",Tb927.11.2470:mRNA-p1
1464,Tb927.3.4030,0.1370258944476023,6.1232132020682775,-0.4606041371817181,"hypothetical protein, conserved","Tb927.3.4030:mRNA-p1 | transcript=Tb927.3.4030:mRNA | gene=Tb927.3.4030 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_03_v5.1:1135385-113902",Tb927.3.4030:mRNA-p1
1465,Tb927.9.5880,0.1369121763564491,5.588233849289841,-0.43812230362577437,"pre-mRNA splicing factor, putative","Tb927.9.5880.2:mRNA-p1 | transcript=Tb927.9.5880.2:mRNA | gene=Tb927.9.5880 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=pre-mRNA splicing factor, putative | transcript_product=pre-mRNA splicing factor, putative | location=Tb927_09_v5.1:9916",Tb927.9.5880.2:mRNA-p1;Tb927.9.5880.1:mRNA-p1
1466,Tb927.8.3800,0.13683967215740478,5.732844576022855,-0.41739287383592655,"guanosine diphosphatase, putative","Tb927.8.3800:mRNA-p1 | transcript=Tb927.8.3800:mRNA | gene=Tb927.8.3800 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=guanosine diphosphatase, putative | transcript_product=guanosine diphosphatase, putative | location=Tb927_08_v5.1:1129045-11",Tb927.8.3800:mRNA-p1
1467,Tb927.10.2910,0.1367981724861023,5.4467523028474085,-0.08157545932321801,splicing factor PTSR1 interacting protein,Tb927.10.2910:mRNA-p1 | transcript=Tb927.10.2910:mRNA | gene=Tb927.10.2910 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=splicing factor PTSR1 interacting protein | transcript_product=splicing factor PTSR1 interacting protein | location=Tb927,Tb927.10.2910:mRNA-p1
1468,Tb927.8.1500,0.13662068379221373,5.991836147521757,-0.44622151772739976,"hypothetical protein, conserved","Tb927.8.1500:mRNA-p1 | transcript=Tb927.8.1500:mRNA | gene=Tb927.8.1500 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_08_v5.1:487358-489163(",Tb927.8.1500:mRNA-p1
1469,Tb927.10.6360,0.1365437660566196,6.273397649877694,-0.41646832557655183,FAZ-tip-localizing protein required for cytokinesis,Tb927.10.6360:mRNA-p1 | transcript=Tb927.10.6360:mRNA | gene=Tb927.10.6360 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=FAZ-tip-localizing protein required for cytokinesis | transcript_product=FAZ-tip-localizing protein required for cytokine,Tb927.10.6360:mRNA-p1
1470,Tb927.8.2950,0.13648191599544454,4.495576239048074,-0.28998070341047794,"hypothetical protein, conserved","Tb927.8.2950:mRNA-p1 | transcript=Tb927.8.2950:mRNA | gene=Tb927.8.2950 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_08_v5.1:890666-892135(",Tb927.8.2950:mRNA-p1
1471,Tb927.11.9290,0.13647345889649778,5.707627533788303,-0.6317693156231701,Flagellum attachment zone protein 20,Tb927.11.9290:mRNA-p1 | transcript=Tb927.11.9290:mRNA | gene=Tb927.11.9290 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Flagellum attachment zone protein 20 | transcript_product=Flagellum attachment zone protein 20 | location=Tb927_11_v5.1:2,Tb927.11.9290:mRNA-p1
1472,Tb927.5.2950,0.13646135950423605,6.798293478701007,-0.5856523205134883,Component of motile flagella 3,Tb927.5.2950:mRNA-p1 | transcript=Tb927.5.2950:mRNA | gene=Tb927.5.2950 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Component of motile flagella 3 | transcript_product=Component of motile flagella 3 | location=Tb927_05_v5.1:986426-988765(+),Tb927.5.2950:mRNA-p1
1473,Tb927.3.3940,0.13644279412994897,5.901425170898007,-0.43429952492262575,"RNA-binding protein, putative","Tb927.3.3940:mRNA-p1 | transcript=Tb927.3.3940:mRNA | gene=Tb927.3.3940 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Tb927_03_v5.1:1097682-1099463(+)",Tb927.3.3940:mRNA-p1
1474,Tb927.11.2110,0.13633994433915897,6.041690418613794,-0.5852029333549295,"Snf7, putative","Tb927.11.2110:mRNA-p1 | transcript=Tb927.11.2110:mRNA | gene=Tb927.11.2110 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Snf7, putative | transcript_product=Snf7, putative | location=Tb927_11_v5.1:601276-601920(+) | protein_length=214 | seque",Tb927.11.2110:mRNA-p1
